Date,Confirmed,New,Recovered,Deaths,Active
2020-05-15T00:00:00Z,1442824,25050,250747,87530,1104547
2020-05-16T00:00:00Z,1467820,24996,268376,88754,1110690
2020-05-17T00:00:00Z,1486757,18937,272265,89562,1124930
2020-05-18T00:00:00Z,1508308,21551,283178,90347,1134783
2020-05-19T00:00:00Z,1528568,20260,289392,91921,1147255
2020-05-20T00:00:00Z,1551853,23285,294312,93439,1164102
2020-05-21T00:00:00Z,1577147,25294,298418,94702,1184027
2020-05-22T00:00:00Z,1600937,23790,350135,95979,1154823
2020-05-23T00:00:00Z,1622612,21675,361239,97087,1164286
2020-05-24T00:00:00Z,1643246,20634,366736,97720,1178790
2020-05-25T00:00:00Z,1662302,19056,379157,98220,1184925
2020-05-26T00:00:00Z,1680913,18611,384902,98913,1197098
2020-05-27T00:00:00Z,1699176,18263,391508,100418,1207250
